UserID,ItemID,ProductCategory,Rating,Price,InteractionType,Timestamp,user_idx,item_idx,interaction_idx
794,40795,Desktop,8,3950.4,click,2025-08-16T15:40:17.284536,793,5843,0
195,37381,Mobile-phone,3,1540.83,purchase,2025-08-16T15:40:16.964195,194,5384,1
186,13330,Smart-TV,7,1496.1,purchase,2025-08-16T15:40:17.137781,185,1940,1
820,70383,Men-fashion,3,2280.51,view,2025-08-16T15:40:17.233615,819,9935,2
27,50412,Laptop,5,3134.91,purchase,2025-08-16T15:40:17.248265,26,7193,1
810,46105,Kids,9,383.8,purchase,2025-08-16T15:40:17.344696,809,6560,1
486,16194,Men-fashion,1,4514.8,purchase,2025-08-16T15:40:17.057124,485,2338,1
892,38969,Women-fashion,4,4757.14,view,2025-08-16T15:40:17.156849,891,5607,2
937,34661,Tablet,5,3046.09,click,2025-08-16T15:40:17.071303,936,4991,0
233,18376,Mobile-phone,1,2004.47,purchase,2025-08-16T15:40:17.050455,232,2654,1
489,11802,Mobile-phone,9,1251.5,view,2025-08-16T15:40:17.189885,488,1742,2
58,94754,Home-furniture,6,1827.56,click,2025-08-16T15:40:17.242886,57,13426,0
772,31557,Desktop,4,1271.08,purchase,2025-08-16T15:40:17.171653,771,4551,1
992,25614,Desktop,6,199.54,view,2025-08-16T15:40:17.077065,991,3695,2
74,36675,Smart-watch,8,4502.95,purchase,2025-08-16T15:40:17.195929,73,5280,1
253,36777,Kids,7,1314.99,purchase,2025-08-16T15:40:17.391331,252,5292,1
239,83347,Women-fashion,8,4869.42,view,2025-08-16T15:40:17.257111,238,11764,2
552,25706,Home-furniture,7,494,view,2025-08-16T15:40:17.244731,551,3702,2
229,87676,Home-furniture,1,3190.8,click,2025-08-16T15:40:17.230696,228,12396,0
865,51475,Tablet,3,224.85,view,2025-08-16T15:40:16.942004,864,7346,2
135,20184,Home-furniture,6,3660.68,view,2025-08-16T15:40:17.190974,134,2925,2
106,29073,Desktop,8,2738.43,view,2025-08-16T15:40:17.360268,105,4216,2
118,99084,Women-fashion,4,1621.17,click,2025-08-16T15:40:17.220528,117,14020,0
127,66642,Smart-TV,2,306.27,view,2025-08-16T15:40:17.046037,126,9429,2
609,35282,Kids,7,1642.48,view,2025-08-16T15:40:17.214251,608,5075,2
283,8017,Home-furniture,5,1454.02,purchase,2025-08-16T15:40:17.036525,282,1195,1
301,59547,Desktop,7,2448.21,purchase,2025-08-16T15:40:17.079307,300,8445,1
480,90366,Smart-watch,8,4468.23,click,2025-08-16T15:40:17.224658,479,12789,0
810,21399,Home-furniture,2,3418.38,purchase,2025-08-16T15:40:17.125821,809,3105,1
857,79508,Smart-TV,6,3414.37,view,2025-08-16T15:40:17.102870,856,11240,2
891,26959,Kids,5,1130.35,view,2025-08-16T15:40:16.960329,890,3883,2
881,18362,Smart-watch,2,1816.73,click,2025-08-16T15:40:17.375505,880,2653,0
29,45351,Kids,4,1097.59,purchase,2025-08-16T15:40:16.960417,28,6452,1
991,48009,Mobile-phone,2,3407.1,view,2025-08-16T15:40:17.070915,990,6846,2
752,82607,Home-furniture,3,3513.43,view,2025-08-16T15:40:17.227883,751,11649,2
845,53610,Women-fashion,6,579.25,view,2025-08-16T15:40:17.375276,844,7611,2
2,32306,Home-furniture,4,615.94,click,2025-08-16T15:40:17.269284,1,4651,0
242,26640,Home-furniture,5,4366.68,purchase,2025-08-16T15:40:17.405759,241,3830,1
341,21631,Home-furniture,6,368.1,view,2025-08-16T15:40:17.217636,340,3138,2
194,77526,Men-fashion,5,2406.39,view,2025-08-16T15:40:17.091602,193,10959,2
936,85092,Desktop,4,254.41,view,2025-08-16T15:40:17.052979,935,12002,2
483,74664,Mobile-phone,7,2719.27,view,2025-08-16T15:40:17.001596,482,10539,2
700,29376,Smart-TV,8,4971.02,purchase,2025-08-16T15:40:16.902760,699,4257,1
988,91272,Kids,3,1881.58,purchase,2025-08-16T15:40:17.218820,987,12925,1
421,52692,Laptop,6,3701.77,view,2025-08-16T15:40:17.076978,420,7504,2
32,98240,Kids,8,4726.31,view,2025-08-16T15:40:17.090553,31,13904,2
592,69635,Kids,1,4446.9,purchase,2025-08-16T15:40:18.814273,591,9830,1
914,2973,Smart-TV,6,1629.53,click,2025-08-16T15:40:17.212833,913,453,0
541,27053,Smart-watch,4,1407.56,view,2025-08-16T15:40:17.114313,540,3901,2
893,69587,Laptop,3,1878.99,view,2025-08-16T15:40:17.231052,892,9823,2
864,71833,Tablet,6,1524.95,view,2025-08-16T15:40:17.064922,863,10131,2
589,25123,Tablet,3,4990.09,click,2025-08-16T15:40:16.990596,588,3618,0
445,5783,Desktop,1,342.35,view,2025-08-16T15:40:17.292052,444,869,2
175,7698,Smart-watch,1,2725.76,view,2025-08-16T15:40:17.108873,174,1147,2
590,24260,Mobile-phone,4,1770.07,view,2025-08-16T15:40:16.994286,589,3512,2
414,4704,Tablet,6,4715.53,view,2025-08-16T15:40:16.960049,413,699,2
640,6156,Home-furniture,4,2576.7,purchase,2025-08-16T15:40:17.037975,639,923,1
229,64733,Desktop,2,2002.16,purchase,2025-08-16T15:40:17.329891,228,9157,1
701,47833,Smart-TV,5,3646.43,view,2025-08-16T15:40:17.038439,700,6814,2
59,26947,Kids,2,3440.73,view,2025-08-16T15:40:17.070354,58,3880,2
699,98265,Home-furniture,9,3305.5,purchase,2025-08-16T15:40:17.131831,698,13907,1
66,32403,Tablet,5,3677.98,view,2025-08-16T15:40:17.031895,65,4666,2
698,66352,Smart-watch,3,3512.76,view,2025-08-16T15:40:17.383767,697,9388,2
928,31402,Tablet,9,1679.23,purchase,2025-08-16T15:40:16.969226,927,4530,1
384,74230,Men-fashion,3,1148.17,click,2025-08-16T15:40:17.116101,383,10480,0
835,36559,Women-fashion,4,1941.16,click,2025-08-16T15:40:17.253474,834,5262,0
52,19872,Desktop,6,2504.94,view,2025-08-16T15:40:17.313675,51,2867,2
253,2780,Mobile-phone,9,4765.47,view,2025-08-16T15:40:17.157374,252,423,2
642,84982,Laptop,10,528.23,view,2025-08-16T15:40:17.226911,641,11987,2
345,3200,Mobile-phone,10,3102.02,view,2025-08-16T15:40:20.203341,344,484,2
293,10687,Desktop,6,3895.15,click,2025-08-16T15:40:17.317736,292,1561,0
572,26658,Tablet,1,3543.89,view,2025-08-16T15:40:16.938203,571,3837,2
570,78833,Laptop,8,1576.39,purchase,2025-08-16T15:40:16.903324,569,11141,1
762,19066,Smart-watch,9,554.94,view,2025-08-16T15:40:16.911115,761,2741,2
758,77079,Laptop,2,4431.41,purchase,2025-08-16T15:40:17.288343,757,10890,1
15,30462,Tablet,10,4117.32,purchase,2025-08-16T15:40:17.185123,14,4404,1
637,32973,Mobile-phone,6,1696.45,view,2025-08-16T15:40:16.992557,636,4740,2
82,45441,Men-fashion,1,1555.73,click,2025-08-16T15:40:17.355574,81,6463,0
538,21499,Laptop,10,652.09,click,2025-08-16T15:40:17.221226,537,3116,0
660,56760,Desktop,3,962.97,view,2025-08-16T15:40:17.124180,659,8072,2
401,38068,Smart-watch,10,3424,purchase,2025-08-16T15:40:16.974063,400,5477,1
989,7284,Smart-TV,7,2373.95,purchase,2025-08-16T15:40:17.326922,988,1080,1
944,48672,Men-fashion,10,2351.94,click,2025-08-16T15:40:17.281889,943,6924,0
836,2558,Women-fashion,9,2650.72,click,2025-08-16T15:40:16.896799,835,393,0
287,79026,Smart-TV,7,4432,view,2025-08-16T15:40:16.997231,286,11168,2
885,81061,Men-fashion,7,2269.28,click,2025-08-16T15:40:17.265857,884,11437,0
421,48433,Mobile-phone,6,3159.2,purchase,2025-08-16T15:40:17.404381,420,6891,1
993,42521,Tablet,4,1680.81,purchase,2025-08-16T15:40:16.948463,992,6053,1
247,66538,Smart-watch,4,971.92,view,2025-08-16T15:40:17.128451,246,9410,2
575,48517,Kids,9,1477.13,purchase,2025-08-16T15:40:17.065024,574,6904,1
598,46173,Smart-TV,9,4263.97,click,2025-08-16T15:40:17.080811,597,6576,0
211,1141,Home-furniture,7,451.14,click,2025-08-16T15:40:17.024129,210,180,0
639,94838,Tablet,5,2750.74,click,2025-08-16T15:40:17.102186,638,13444,0
458,30106,Desktop,6,594.52,click,2025-08-16T15:40:16.925985,457,4362,0
701,38256,Smart-watch,3,2858.08,purchase,2025-08-16T15:40:18.802033,700,5509,1
215,37664,Mobile-phone,5,4635.41,purchase,2025-08-16T15:40:17.096200,214,5427,1
629,68927,Smart-TV,10,2118.96,view,2025-08-16T15:40:16.987787,628,9739,2
558,68450,Smart-watch,7,343.22,view,2025-08-16T15:40:17.378642,557,9671,2
855,53020,Desktop,2,356.93,purchase,2025-08-16T15:40:17.214152,854,7543,1
135,76440,Men-fashion,2,3299.21,view,2025-08-16T15:40:17.386830,134,10800,2
846,3689,Desktop,2,4577.29,view,2025-08-16T15:40:17.337378,845,553,2
590,62258,Smart-watch,10,4161.01,purchase,2025-08-16T15:40:17.212033,589,8825,1
194,54936,Laptop,3,2093.59,click,2025-08-16T15:40:17.067216,193,7780,0
948,36293,Mobile-phone,5,4774.73,view,2025-08-16T15:40:17.408018,947,5219,2
754,60818,Women-fashion,9,436.16,view,2025-08-16T15:40:17.388418,753,8612,2
676,16631,Smart-TV,7,2399.44,purchase,2025-08-16T15:40:17.269559,675,2402,1
108,83000,Kids,4,3213.95,view,2025-08-16T15:40:17.232764,107,11710,2
779,15038,Laptop,3,912.24,click,2025-08-16T15:40:17.003103,778,2172,0
933,86699,Women-fashion,5,1561.68,purchase,2025-08-16T15:40:17.026845,932,12251,1
944,15702,Laptop,2,4447.54,view,2025-08-16T15:40:17.361032,943,2264,2
424,30112,Smart-watch,1,590.39,view,2025-08-16T15:40:16.980704,423,4365,2
276,69877,Smart-TV,2,3923.12,purchase,2025-08-16T15:40:17.126212,275,9862,1
89,71834,Kids,5,3475.77,click,2025-08-16T15:40:17.128839,88,10132,0
337,26490,Smart-watch,5,4939.75,click,2025-08-16T15:40:17.064836,336,3810,0
118,8513,Mobile-phone,1,1720.42,purchase,2025-08-16T15:40:16.926814,117,1252,1
560,40168,Home-furniture,9,1669.56,click,2025-08-16T15:40:17.201161,559,5771,0
289,55916,Tablet,4,3046.28,purchase,2025-08-16T15:40:17.001197,288,7943,1
259,56701,Laptop,5,4551.3,purchase,2025-08-16T15:40:16.996482,258,8065,1
607,4896,Mobile-phone,5,206.3,purchase,2025-08-16T15:40:16.973210,606,729,1
256,21469,Mobile-phone,4,2962.16,click,2025-08-16T15:40:17.289047,255,3113,0
51,95526,Kids,2,2587.14,purchase,2025-08-16T15:40:17.408522,50,13552,1
752,37067,Men-fashion,8,1338.34,click,2025-08-16T15:40:17.234110,751,5334,0
959,86028,Mobile-phone,8,1551.47,view,2025-08-16T15:40:16.905079,958,12145,2
929,84628,Tablet,1,1490.4,click,2025-08-16T15:40:17.182428,928,11936,0
715,1215,Tablet,10,2371.67,view,2025-08-16T15:40:17.216466,714,191,2
691,36528,Tablet,9,1036.4,click,2025-08-16T15:40:18.807156,690,5257,0
924,5369,Men-fashion,1,512.37,purchase,2025-08-16T15:40:17.095379,923,793,1
588,31602,Mobile-phone,7,2614.22,purchase,2025-08-16T15:40:17.138593,587,4557,1
59,64380,Laptop,1,3763.31,purchase,2025-08-16T15:40:16.982645,58,9118,1
